Nama Restaurant,Rating,Price,Daerah,Tipe_1,Tipe_2,Tipe_3,Label
Kedai Pisang The Monkey,3.9,15000,"Kalibata, Jakarta",Desserts,-,-,1
KAKAW Fine Chocolate & Patisserie,3.4,20000,"Senayan, Jakarta",Kafe,Desserts,-,1
Bakeri Monami,3.5,20000,"Senayan City, Senayan, Jakarta",Kue & Roti,Desserts,-,1
Join Kopi Bulungan,3.9,20000,"Blok M, Jakarta",Kopi,-,-,1
Kopi Coga,4,25000,"Bendungan Hilir, Jakarta",Kafe,Kopi,Tea,1
Ayam Keprabon Express,3.8,25000,"Palmerah, Jakarta",Indonesia,-,-,1
Bakmi DKI,3.1,25000,"Palmerah, Jakarta",Bakmi,-,-,1
"Mie Keriting Benhil ""Mas Pujo""",3.4,25000,"Bendungan Hilir, Jakarta",Bakmi,-,-,1
Pecel Ayam Mami,3.8,25000,"Palmerah, Jakarta",Jawa,-,-,1
D' Crepes,3.5,25000,"Plaza Senayan, Senayan, Jakarta",Desserts,Camilan,-,1
Daikohi,3.3,25000,"Senayan, Jakarta",Minuman,-,-,1
Le Gourmet,3,25000,"Plaza Senayan, Senayan, Jakarta",Kue & Roti,Desserts,-,1
Fortis Coffee,3,25000,"Senayan Park, Senayan, Jakarta",Kopi,-,-,1
Kopi Lain Hati,3.3,25000,"Senayan, Jakarta",Kopi,Minuman,-,1
Rocky Rooster,4.2,25000,"Palmerah, Jakarta",Makanan Cepat Saji,-,-,1
Kopilangit,3,25000,"Bendungan Hilir, Jakarta",Kafe,Kopi,Tea,1
Selembar Pizza,3.1,25000,"Palmerah, Jakarta",Kopi,Pizza,-,1
Kopi SSS,3.7,25000,"Sudirman, Jakarta",Kopi,Minuman,-,1
Kidota Coffee,4.9,25000,"Senayan, Jakarta",Kopi,-,-,1
Kopi Ketemu,3.4,25000,"Senayan, Jakarta",Kopi,-,-,1
Nasi Padang Trio Jaya,3.3,25000,"Kuliner GBK, Senayan, Jakarta",Padang,-,-,1
Ayam Blenger PSP,4.2,25000,"Palmerah, Jakarta",Indonesia,-,-,1
Bakso Cinta Rasa,4,25000,"Palmerah, Jakarta",Bakso,-,-,1
Ayam Gepuk Sambal Bawang Pak Gembus,3.5,25000,"Senopati, Jakarta",Indonesia,-,-,1
KL Kafe,5,25000,"K - Link Tower, Gatot Subroto, Jakarta",Kafe,Tea,Desserts,1
Burger Bakar Qebul,4.1,25000,"Pasar Minggu, Jakarta",Burger,-,-,1
Kedai Kopi Tenong,3.8,25000,"Fatmawati, Jakarta",Makanan Jalanan,Indonesia,-,1
COFFE.A,3.7,25000,"PHX Permata Hijau, Kebayoran Lama, Jakarta",Kafe,Kopi,-,1
Teritori Kopi,3.6,25000,"Jagakarsa, Jakarta",Kopi,-,-,1
KO.LO Kopi Lokal,4.1,25000,"Dharmawangsa, Jakarta",Kopi,Indonesia,Camilan,1
Dimsum Pertok,3.4,25000,"Dharmawangsa, Jakarta",Dimsum,-,-,1
Warung Gelo,3,25000,"Kemang, Jakarta",Makanan Jalanan,Indonesia,-,1
Kopi KANO,3.7,25000,"Senopati, Jakarta",Kafe,Kopi,-,1
Châteraisé,4.3,30000,"Senayan City, Senayan, Jakarta",Kopi,Kue & Roti,Minuman,1
Fi:ka by Sour Sally,3.6,30000,"Senayan, Jakarta",Kopi,Minuman,-,1
Bakerman,4.2,30000,"SCBD, Jakarta",Kopi,Desserts,Minuman,1
